Question,Answer
có lẽ họ sẽ cho chúng ta đồ uống miễn phí vì phải chờ đợi quá lâu.,đó là một ý tưởng tốt
có lẽ anh ấy sẽ gửi người phục vụ cho chúng tôi ngay lập tức.,có lẽ họ sẽ cho chúng ta đồ uống miễn phí vì phải chờ đợi quá lâu.
cái đó. một nhóm tám người chỉ ngồi xuống đó.,Tuyệt. cái nào?
lần này là gì thế?,tôi không tin vào thế giới nghệ thuật.
một bức vẽ của Andy Warhol.,lần này là gì thế?
anh ấy là một nghệ sĩ nổi tiếng,một bức vẽ của Andy Warhol.
anh ấy vẽ hai con bướm và một bông hoa trên khăn ăn trong một nhà hàng.,anh ấy là một nghệ sĩ nổi tiếng
anh ấy đã ký nó phải không?,anh ấy vẽ hai con bướm và một bông hoa trên khăn ăn trong một nhà hàng.
Đúng.,anh ấy đã ký nó phải không?
nó có đẹp không?,Đúng.
nó chỉ là mực đen trên khăn ăn màu trắng. và khăn ăn có vết thức ăn!,nó có đẹp không?
vậy là nó không có giá trị bao nhiêu?,nó chỉ là mực đen trên khăn ăn màu trắng. và khăn ăn có vết thức ăn!
tất nhiên rồi.,chúng ta có thể đi xem trận bóng chày được không?
tôi yêu bóng chày.,tất nhiên rồi.
tôi cũng vậy.,tôi yêu bóng chày.
tôi thích ăn đậu phộng,tôi cũng vậy.
tôi thích ăn xúc xích,tôi thích ăn đậu phộng
tôi hy vọng chúng ta sẽ thấy một trận chạy về nhà.,tôi thích ăn xúc xích
tôi hy vọng chúng ta sẽ bắt được một quả bóng phạm lỗi.,tôi hy vọng chúng ta sẽ thấy một trận chạy về nhà.
mang theo một chiếc áo khoác.,tôi hy vọng chúng ta sẽ bắt được một quả bóng phạm lỗi.
Đúng. trời trở nên mát mẻ một chút vào ban đêm.,mang theo một chiếc áo khoác.
mang theo găng tay để bắt bóng phạm lỗi.,Đúng. trời trở nên mát mẻ một chút vào ban đêm.
KHÔNG. tôi sẽ chỉ dùng mũ của mình để bắt một quả bóng phạm lỗi.,mang theo găng tay để bắt bóng phạm lỗi.
chắc chắn là vậy.,golf là một trò chơi ngớ ngẩn.
bạn đánh một quả bóng màu trắng.,chắc chắn là vậy.
và sau đó bạn đuổi theo nó.,bạn đánh một quả bóng màu trắng.
và sau đó bạn đánh nó một lần nữa.,và sau đó bạn đuổi theo nó.
làm sao có thể vui được?,vấn đề là gì?
họ trả tiền để chơi trò chơi ngớ ngẩn này!,làm sao có thể vui được?
tôi nghĩ người chơi golf có vấn đề về tâm thần.,họ trả tiền để chơi trò chơi ngớ ngẩn này!
tôi nghĩ họ điên rồi.,tôi nghĩ người chơi golf có vấn đề về tâm thần.
Đúng. đó là một ý tưởng tốt,bạn có muốn đi câu cá không?
bạn muốn đi đâu?,Đúng. đó là một ý tưởng tốt
chúng ta có thể đi ra sông,bạn muốn đi đâu?
hoặc chúng ta có thể đi đến hồ.,chúng ta có thể đi ra sông
hoặc chúng ta có thể đi ra biển.,hoặc chúng ta có thể đi đến hồ.
chúng ta hãy đi đến hồ.,hoặc chúng ta có thể đi ra biển.
Đúng. hồ chỉ là 10 dặm.,chúng ta hãy đi đến hồ.
chúng ta có thể đến đó trong 20 phút.,Đúng. hồ chỉ là 10 dặm.
tôi sẽ lấy cần câu của chúng ta.,chúng ta có thể đến đó trong 20 phút.
tôi sẽ lấy mồi.,tôi sẽ lấy cần câu của chúng ta.
chúng ta sẽ có cá tươi cho bữa tối!,tôi sẽ lấy mồi.
tôi thích đánh bóng,bóng chày rất vui.
tôi thích chạy quanh các căn cứ.,tôi thích đánh bóng
tôi thích trượt vào căn cứ.,tôi thích chạy quanh các căn cứ.
vâng. trượt rất thú vị.,tôi thích trượt vào căn cứ.
tôi muốn trở thành một cầu thủ bóng chày khi lớn lên.,vâng. trượt rất thú vị.
Tôi cũng vậy. tôi muốn chơi cho đội Yankees.,tôi muốn trở thành một cầu thủ bóng chày khi lớn lên.
không phải tôi. tôi muốn chơi cho đội né tránh.,Tôi cũng vậy. tôi muốn chơi cho đội Yankees.
chúng ta phải luyện tập hàng ngày.,không phải tôi. tôi muốn chơi cho đội né tránh.
tôi không thích luyện tập,chúng ta phải luyện tập hàng ngày.
tôi cũng vậy. nó thật nhàm chán.,tôi không thích luyện tập
nhưng luyện tập sẽ tạo nên sự hoàn hảo.,tôi cũng vậy. nó thật nhàm chán.
đó là một ý tưởng tốt,chúng ta hãy đi chạy bộ.
tôi đã mua vài đôi giày mới,đó là một ý tưởng tốt
họ có thoải mái không?,tôi đã mua vài đôi giày mới
họ rất thoải mái.,họ có thoải mái không?
chúng bao nhiêu?,họ rất thoải mái.
chúng được bán với giá 80 đô la.,chúng bao nhiêu?
chúng có giúp bạn chạy nhanh hơn không?,chúng được bán với giá 80 đô la.
bạn có thể muốn mua một cặp.,thì chúng đáng giá từng xu.
tôi sẽ đợi cho đến khi tôi mặc đôi này ra.,bạn có thể muốn mua một cặp.
bạn có thể nói lại điều đó,hổ là tay golf giỏi nhất thế giới
nhưng tôi lo lắng về con hổ.,bạn có thể nói lại điều đó
tại sao vậy?,nhưng tôi lo lắng về con hổ.
vì anh ấy thích lặn biển.,tại sao vậy?
có chuyện gì vậy?,vì anh ấy thích lặn biển.
nó có thể nguy hiểm.,có chuyện gì vậy?
ý bạn là anh ấy có thể chết đuối.,nó có thể nguy hiểm.
anh ấy không nên lặn biển cho đến khi nghỉ hưu.,ý bạn là anh ấy có thể chết đuối.
nhưng anh ấy lặn để thư giãn.,anh ấy không nên lặn biển cho đến khi nghỉ hưu.
cái mà con hổ đã thắng?,bạn có xem giải đấu golf đó không?
anh ấy đã làm điều đó như thế nào?,cái mà con hổ đã thắng?
nó chẳng là gì đối với anh ấy.,anh ấy đã làm điều đó như thế nào?
anh ấy thực hiện cú putt dài 20 foot ở lỗ cuối cùng để giành chiến thắng chỉ bằng một cú đánh!,nó chẳng là gì đối với anh ấy.
anh ấy đã đánh chìm một vận động viên cao 25 ​​foot vào năm ngoái tại cùng một giải đấu để giành chiến thắng chỉ bằng một gậy.,anh ấy thực hiện cú putt dài 20 foot ở lỗ cuối cùng để giành chiến thắng chỉ bằng một cú đánh!
tôi nghĩ anh ấy đến từ ngoài vũ trụ,anh ấy đã đánh chìm một vận động viên cao 25 ​​foot vào năm ngoái tại cùng một giải đấu để giành chiến thắng chỉ bằng một gậy.
không con người nào có thể chơi gôn giỏi đến thế.,tôi nghĩ anh ấy đến từ ngoài vũ trụ
ai đó nên kiểm tra hồ sơ khai sinh của anh ấy.,không con người nào có thể làm được điều đó.
tôi cá là nó nói anh ấy sinh ra trên sao Hỏa.,ai đó nên kiểm tra hồ sơ khai sinh của anh ấy.
có rất nhiều cầu thủ tuyệt vời.,ai là cầu thủ bóng chày vĩ đại nhất?
hầu hết mọi người sẽ nói vậy.,anh phải nói là em yêu ruth.
anh ấy đã thay đổi trò chơi.,hầu hết mọi người sẽ nói vậy.
sẽ không bao giờ có một em bé nào nữa.,anh ấy luôn đến thăm bệnh viện để động viên những đứa trẻ bị bệnh.
điều đó không hay chút nào.,ai đó đã đấm ai đó.
nó còn tệ hơn thế.,điều đó không hay chút nào.
sao vậy?,nó còn tệ hơn thế.
hai người đã cãi nhau.,sao vậy?
tôi cá là họ đang uống rượu.,hai người đã cãi nhau.
gã thứ ba đấm một trong hai gã.,tôi cá là họ đang uống rượu.
điều đó thật khủng khiếp. mọi người không thể vui vẻ trong một trận bóng chày sao?,nạn nhân đập đầu vào bậc thềm bê tông tử vong.
tối nay có trò chơi không?,tôi muốn đi xem trận bóng.
chúng chỉ có 5 đô la mỗi cái.,chúng giá bao nhiêu?
đó là một mức giá tốt,chúng chỉ có 5 đô la mỗi cái.
họ ở phía sau sân ngoài.,chỗ ngồi ở đâu?
có lẽ chúng ta có thể bắt được một quả bóng chạy về nhà.,họ ở phía sau sân ngoài.
có gì khó khi đánh một quả bóng nhỏ màu trắng?,chơi gôn khó quá.
thật khó nếu bạn muốn làm đúng.,có gì khó khi đánh một quả bóng nhỏ màu trắng?
ý bạn là giống hổ?,thật khó nếu bạn muốn làm đúng.
có rất nhiều điều bạn phải làm đúng.,chơi gôn có gì khó?
như thế nào?,có rất nhiều điều bạn phải làm đúng.
bạn cần phải nhận được rất nhiều bài học khi bạn còn trẻ.,ôi! ai có thể nhớ tất cả những điều đó?
quên nó đi. chơi gôn nghe giống công việc hơn là niềm vui.,bạn cần phải nhận được rất nhiều bài học khi bạn còn trẻ.
kẻ nghiện ma túy chạy về nhà?,bạn đã nghe nói về người chơi bóng chưa?
anh ấy nói rằng một bác sĩ đã giúp anh ấy giải quyết một vấn đề cá nhân.,kẻ nghiện ma túy chạy về nhà?
anh ấy nói anh ấy không sử dụng ma túy.,anh ấy nói rằng một bác sĩ đã giúp anh ấy giải quyết một vấn đề cá nhân.
anh ấy đã xin lỗi người hâm mộ.,anh ấy nói anh ấy không sử dụng ma túy.
liên đoàn đã đình chỉ anh ta trong 50 trận.,anh ấy đã xin lỗi người hâm mộ.
điều đó sẽ khiến anh ta tốn một số tiền.,liên đoàn đã đình chỉ anh ta trong 50 trận.
có lẽ anh ấy sẽ không sử dụng ma túy nữa.,điều đó sẽ dạy cho anh ta một bài học tốt.
nhưng nó sẽ không ngăn được những người chơi khác sử dụng ma túy.,có lẽ anh ấy sẽ không sử dụng ma túy nữa.
KHÔNG. mọi người luôn cho rằng họ sẽ không bị bắt.,nhưng nó sẽ không ngăn được những người chơi khác sử dụng ma túy.
bởi vì cha mẹ không dạy con mình đúng sai.,tại sao có quá nhiều tội phạm?
đó là nó phải không?,bởi vì cha mẹ không dạy con mình đúng sai.
chỉ có một cảnh sát trên 100 tội phạm.,nhưng có rất nhiều cảnh sát.
chúng ta không thể thuê thêm cảnh sát à?,chỉ có một cảnh sát trên 100 tội phạm.
KHÔNG. nó tốn quá nhiều tiền.,chúng ta không thể thuê thêm cảnh sát à?
tội phạm không tốn kém hơn cảnh sát sao?,KHÔNG. nó tốn quá nhiều tiền.
không có tội phạm ở đây.,tôi cảm thấy an toàn ở đây
tôi ước tôi có thể chuyển đến đây,không có tội phạm ở đây.
chuyện gì đã xảy ra thế?,ngôi nhà bị thiêu rụi.
người đàn ông đã ngủ quên.,chuyện gì đã xảy ra thế?
anh ấy có hút thuốc không?,người đàn ông đã ngủ quên.
pin đã chết.,điều đó quá tệ. còn chuông báo khói của anh ấy thì sao?
một cục pin tốt sẽ cứu mạng anh ấy.,pin đã chết.
anh ta đã ở tù ba lần rồi.,họ nói rằng anh ta đã gây ra mười lăm vụ cháy lớn.
tại sao họ lại thả anh ta ra ngoài?,anh ta đã ở tù ba lần rồi.
đó là luật pháp họ không thể giữ anh ta trong tù mãi mãi.,tại sao họ lại thả anh ta ra ngoài?
tại sao không? mọi người đều biết anh ấy là một con bọ lửa. anh ấy thích đốt lửa.,đó là luật pháp họ không thể giữ anh ta trong tù mãi mãi.
Tôi không biết. đôi khi luật pháp không có ý nghĩa.,tại sao không? mọi người đều biết anh ấy là một con bọ lửa. anh ấy thích đốt lửa.
nhưng vụ cháy mới nhất của anh ta đã giết chết một người.,Tôi không biết. đôi khi luật pháp không có ý nghĩa.
lần này họ đã buộc tội anh ta tội giết người.,nhưng vụ cháy mới nhất của anh ta đã giết chết một người.
vậy có lẽ anh ta sẽ phải vào tù mãi mãi?,lần này họ đã buộc tội anh ta tội giết người.
tôi chắc chắn hy vọng như vậy.,vậy có lẽ anh ta sẽ phải vào tù mãi mãi?
ai đó nên đốt anh ta.,tôi chắc chắn hy vọng như vậy.
điều đó sẽ dạy cho anh ta một bài học tốt.,ai đó nên đốt anh ta.
Tại sao?,thắt dây an toàn vào.
vì nó sẽ bảo vệ bạn trong trường hợp xảy ra tai nạn.,Tại sao?
nhưng nó không thoải mái.,vì nó sẽ bảo vệ bạn trong trường hợp xảy ra tai nạn.
đó là luật pháp,nhưng nó không thoải mái.
rắc rối quá.,đó là luật pháp
đó là lẽ thường.,rắc rối quá.
nó chật đến nỗi tôi khó thở.,đó là lẽ thường.
nín thở cho đến khi chúng ta tới đó.,nó chật đến nỗi tôi khó thở.
tôi đã sẵn sàng cho một tai nạn,tôi mừng vì bạn không phàn nàn nhiều.
tôi định thay bóng đèn. nó cháy hết.,Bạn đang làm gì thế?
bạn đang đứng trên cái gì thế?,tôi định thay bóng đèn. nó cháy hết.
một vài từ điển và một số sách giáo khoa.,bạn đang đứng trên cái gì thế?
bạn có điên không?,một vài từ điển và một số sách giáo khoa.
có chuyện gì thế?,bạn có điên không?
những cuốn sách đó sẽ trượt và bạn sẽ ngã.,có chuyện gì thế?
nó chỉ có một vài feet.,những cuốn sách đó sẽ trượt và bạn sẽ ngã.
bạn sẽ bị mù suốt đời!,tôi chưa bao giờ nghĩ về điều đó
tôi sẽ lấy cái thang.,bạn sẽ bị mù suốt đời!
Đúng. tôi đã yêu cầu dọn dẹp.,bạn có thấy vũng nước trên sàn không?
một vũng nước rất nguy hiểm.,Đúng. tôi đã yêu cầu dọn dẹp.
nó không phải là dễ dàng để nhìn thấy.,một vũng nước rất nguy hiểm.
nhưng nó rất dễ trượt.,nó không phải là dễ dàng để nhìn thấy.
đặc biệt là trên những sàn trơn bóng này.,nhưng nó rất dễ trượt.
ai đó trượt chân có thể bị đau lưng.,đặc biệt là trên những sàn trơn bóng này.
họ thậm chí có thể đập vỡ đầu mình.,ai đó trượt chân có thể bị đau lưng.
chúng ta nên đứng đây cho đến khi người dọn dẹp tới.,họ thậm chí có thể đập vỡ đầu mình.
chúng ta có thể rời đi nếu chúng ta đặt một hình nón màu cam ở đây.,chúng ta nên đứng đây cho đến khi người dọn dẹp tới.
chúng tôi bảo học sinh rời khỏi lớp học.,điều gì xảy ra khi chuông báo cháy reo?
họ có thể lấy đồ đạc của họ không?,chúng tôi bảo học sinh rời khỏi lớp học.
họ đi ra bãi đậu xe phía bắc.,học sinh đi đâu?
giáo viên làm gì?,họ đi ra bãi đậu xe phía bắc.
chúng tôi đưa người phân công của mình đến bãi đậu xe và lăn bánh.,giáo viên làm gì?
tại sao bạn làm điều đó?,chúng tôi đưa người phân công của mình đến bãi đậu xe và lăn bánh.
chúng tôi muốn đảm bảo tất cả học sinh đều ra khỏi tòa nhà.,tại sao bạn làm điều đó?
Tại sao? chúng ta đã muộn rồi.,tôi phải quay lại tầng trên.
tôi phải kiểm tra bếp lò.,Tại sao? chúng ta đã muộn rồi.
có chuyện gì thế?,tôi phải kiểm tra bếp lò.
có lẽ tôi đã để lửa bật.,có chuyện gì thế?
tất nhiên là tôi chắc chắn.,bạn có chắc không?
tôi nghĩ tôi đã để nước chảy.,nó đang muộn hơn mỗi phút.
họ đang trả những gì?,thành phố đang mua súng.
họ muốn loại bỏ súng khỏi đường phố.,tại sao họ làm điều này?
ai sẽ giao súng với giá 200 đô la?,họ muốn loại bỏ súng khỏi đường phố.
đó không phải là một việc tốt?,ai sẽ giao súng với giá 200 đô la?
một khẩu súng tốt có giá từ 400 USD trở lên.,đó không phải là một việc tốt?
tôi không biết bạn có súng.,tôi sẽ giữ biên lai và súng của tôi.
mọi người ở Mỹ nên có súng.,tôi không biết bạn có súng.
tôi chắc chắn là vậy.,bạn đang ngáp.
bạn nên đi ngủ.,tôi chắc chắn là vậy.
tôi sẽ làm ngay khi tôi hoàn thành bài viết này.,bạn nên đi ngủ.
bạn đang đọc gì thế?,tôi sẽ làm ngay khi tôi hoàn thành bài viết này.
đó là về tội phạm ở Los Angeles.,bạn đang đọc gì thế?
nó nói gì vậy?,đó là về tội phạm ở Los Angeles.
thị trưởng nói rằng tỷ lệ tội phạm đang giảm.,nó nói gì vậy?
vậy tại sao mọi người đều khóa cửa?,thị trưởng nói rằng tỷ lệ tội phạm đang giảm.
tôi đoán họ chưa đọc bài viết này.,vậy tại sao mọi người đều khóa cửa?
không ai tin rằng tỷ lệ tội phạm đang giảm xuống.,tôi đoán họ chưa đọc bài viết này.
có lẽ thị trưởng chỉ đang nói về khu phố của ông ấy thôi.,không ai tin rằng tỷ lệ tội phạm đang giảm xuống.
tại sao vậy?,những người sống ở California thật điên rồ.
vì tất cả các trận động đất và hỏa hoạn.,tại sao vậy?
nhưng những trận động đất lớn chỉ thỉnh thoảng xảy ra.,vì tất cả các trận động đất và hỏa hoạn.
thỉnh thoảng có một lần là quá nhiều.,nhưng những trận động đất lớn chỉ thỉnh thoảng xảy ra.
nhưng bạn nói đúng. có rất nhiều đám cháy.,thỉnh thoảng có một lần là quá nhiều.
một trận hỏa hoạn gần đây đã phá hủy 85 ngôi nhà.,nhưng bạn nói đúng. có rất nhiều đám cháy.
bạn có thích nó không?,tôi đã đến Hawaii vào kỳ nghỉ.
tôi yêu nó. tôi muốn sống ở đó,bạn có thích nó không?
bạn thích cái gì?,tôi yêu nó. tôi muốn sống ở đó
tôi đã đi đến bãi biển mỗi ngày,bạn đã đi bơi chưa?
thời tiết thế nào?,tôi đã đi đến bãi biển mỗi ngày
trời nóng và nắng mỗi ngày.,thời tiết thế nào?
bạn đã làm gì vào ban đêm?,trời nóng và nắng mỗi ngày.
buổi tối tôi ra ngoài ăn. thức ăn rất ngon.,bạn đã làm gì vào ban đêm?
những người sống ở Hawaii thật may mắn.,buổi tối tôi ra ngoài ăn. thức ăn rất ngon.
bạn thích gì về nó?,tôi thích khách sạn này
chúng tôi nhận được một bữa ăn sáng miễn phí.,bạn thích gì về nó?
cà phê và một ổ bánh mì?,chúng tôi nhận được một bữa ăn sáng miễn phí.
có chuyện gì thế? đây là một căn phòng đẹp,tối nay tôi không ngủ ở đây
nhìn vào tờ này.,có chuyện gì với cái giường vậy?
Đúng?,nhìn vào tờ này.
nhìn thấy những vết bẩn đó?,Đúng?
tôi chắc chắn vậy.,nhìn thấy những vết bẩn đó?
tôi không ngủ trên tấm ga đó.,tôi chắc chắn vậy.
nó rời đi lúc 12:15.,máy bay của bạn cất cánh lúc mấy giờ?
khi nào bạn phải có mặt ở sân bay?,nó rời đi lúc 12:15.
tôi phải đến đó sớm hai tiếng.,khi nào bạn phải có mặt ở sân bay?
nên chúng ta phải có mặt ở sân bay lúc 10:15.,tôi phải đến đó sớm hai tiếng.
điều đó có nghĩa là chúng ta phải rời khỏi nhà lúc 9:15.,nên chúng ta phải có mặt ở sân bay lúc 10:15.
bạn không bao giờ biết điều gì có thể xảy ra trên những xa lộ này.,tôi đồng ý.
có ít nhất một vụ tai nạn lớn mỗi ngày.,bạn không bao giờ biết điều gì có thể xảy ra trên những xa lộ này.
khi nào bạn đi?,tôi cần bay tới New York.
trong kỳ nghỉ lễ Giáng sinh.,khi nào bạn đi?
tốt nhất bạn nên mua vé ngay bây giờ.,trong kỳ nghỉ lễ Giáng sinh.
chắc bạn đang đùa.,tốt nhất bạn nên mua vé ngay bây giờ.
tôi cá đây là lần đầu tiên bạn bay vào dịp Giáng sinh.,tôi nghĩ tôi sẽ đợi đến tháng 10.
bạn nói đúng.,tôi cá đây là lần đầu tiên bạn bay vào dịp Giáng sinh.
giá rẻ hơn sẽ không giúp ích gì cho bạn nếu không có chỗ ngồi.,nhưng có thể giá sẽ rẻ hơn vào tháng 10.
tôi cũng vậy.,tôi ghét bay.
bạn đang bị kẹt giữa những người xung quanh bạn.,bây giờ nó giống như đi xe buýt.
mọi người luôn thức dậy để sử dụng phòng tắm.,bạn không có chỗ cho khuỷu tay hay đầu gối.
bọn trẻ đang khóc hoặc trèo lên người bạn.,mọi người luôn thức dậy để sử dụng phòng tắm.
đó là một vườn thú bay!,bọn trẻ đang khóc hoặc trèo lên người bạn.
tôi ước tôi có thể mua được chỗ ngồi hạng nhất.,đó là một vườn thú bay!
phải không mọi người?,tôi ước tôi có thể mua được chỗ ngồi hạng nhất.
tốt cho anh ấy.,một anh chàng nào đó đã chèo thuyền vượt Đại Tây Dương.
tại sao anh ấy lại làm vậy?,tốt cho anh ấy.
anh ấy đã lập kỷ lục mới à?,tại sao anh ấy lại làm vậy?
bây giờ anh ấy đã có kỷ lục thế giới!,vấn đề là gì?
một số người làm điều đó chỉ để làm điều đó.,tôi không nghĩ anh ấy thậm chí còn được trả tiền cho việc đó.
điều đó nghe có vẻ vui. bạn muốn đi đâu?,tôi muốn đi trên một con tàu du lịch.
tôi muốn đi du lịch đến hawaii.,điều đó nghe có vẻ vui. bạn muốn đi đâu?
tôi nghĩ nó phụ thuộc vào mùa và cabin của bạn.,tôi không biết nó sẽ có giá bao nhiêu
bạn định đi du lịch một mình à?,và tôi muốn có một cabin lớn với tầm nhìn.
vì tất cả sự an toàn?,tôi ghét phải bay.
bạn có định đi đâu không?,Kỳ nghỉ xuân bắt đầu vào ngày mai.
tôi đang nghĩ đến việc lái xe tới Arizona.,bạn có định đi đâu không?
đến hẻm núi lớn?,tôi đang nghĩ đến việc lái xe tới Arizona.
Đúng. tôi chưa bao giờ đến đó,đến hẻm núi lớn?
tôi đã ở đó khi tôi còn nhỏ,Đúng. tôi chưa bao giờ đến đó
bạn thích nó như thế nào?,tôi đã ở đó khi tôi còn nhỏ
tôi yêu nó. tôi vẫn nhớ nó tuyệt vời thế nào.,bạn thích nó như thế nào?
không đời nào! tôi không muốn rơi vào cái chết của tôi.,bạn nên thử cưỡi la trên con đường mòn dẫn xuống phía dưới.
Đừng lo. chỉ có một người từng bị ngã khỏi con la.,không đời nào! tôi không muốn rơi vào cái chết của tôi.
tồi tệ nhất trên toàn thế giới.,khách sạn đó thật tồi tệ.
những bức tường rất mỏng.,tồi tệ nhất trên toàn thế giới.
suốt ngày chúng tôi nghe thấy tiếng tivi hoặc điện thoại.,những bức tường rất mỏng.
suốt đêm chúng tôi nghe thấy mọi người ngáy.,suốt ngày chúng tôi nghe thấy tiếng tivi hoặc điện thoại.
công việc dọn phòng không cho chúng tôi khăn tắm mới.,suốt đêm chúng tôi nghe thấy mọi người ngáy.
dịch vụ phòng mang đến cho chúng tôi một bữa tối nguội.,công việc dọn phòng không cho chúng tôi khăn tắm mới.
phòng không hút thuốc của chúng tôi đầy khói thuốc lá.,dịch vụ phòng mang đến cho chúng tôi một bữa tối nguội.
phòng của chúng tôi ở ngay cạnh thang máy và máy làm đá.,phòng không hút thuốc của chúng tôi đầy khói thuốc lá.
họ đã thêm các khoản phí giả mạo vào hóa đơn của chúng tôi.,phòng của chúng tôi ở ngay cạnh thang máy và máy làm đá.
làm thế nào mà chúng ta lại ở trong khách sạn khủng khiếp đó?,họ đã thêm các khoản phí giả mạo vào hóa đơn của chúng tôi.
đại lý du lịch đã giảm giá 50% cho chúng tôi!,làm thế nào mà chúng ta lại ở trong khách sạn khủng khiếp đó?
thậm chí còn chưa đến 10 giờ.,tôi phải cúp máy. tôi buồn ngủ quá
tôi đang ngủ quên trên điện thoại.,thậm chí còn chưa đến 10 giờ.
bạn dậy sớm thật đấy,tôi đang ngủ quên trên điện thoại.
tôi phải đưa bạn tôi đến sân bay.,bạn dậy sớm thật đấy
tại sao bạn không chợp mắt khi về đến nhà?,tôi phải đưa bạn tôi đến sân bay.
tôi đã không về nhà cho đến 30 phút trước.,tại sao bạn không chợp mắt khi về đến nhà?
tại sao vậy?,tôi đã không về nhà cho đến 30 phút trước.
có một lời đe dọa đánh bom ở sân bay.,tại sao vậy?
chỉ là lời đe dọa?,có một lời đe dọa đánh bom ở sân bay.
tổ chức tư nhân nào đó.,ai đã mời họ?
tại sao họ lại mời anh ấy?,tổ chức tư nhân nào đó.
để cảm ơn anh ấy và tất cả những người lính khác đã phục vụ trong Thế chiến thứ hai.,tại sao họ lại mời anh ấy?
điều đó rất hay.,để cảm ơn anh ấy và tất cả những người lính khác đã phục vụ trong Thế chiến thứ hai.
bố tôi đã được nhìn thấy tượng đài chiến tranh thế giới thứ hai mới tuyệt đẹp.,điều đó rất hay.
chuyến đi đó chắc phải tốn rất nhiều tiền.,bố tôi đã được nhìn thấy tượng đài chiến tranh thế giới thứ hai mới tuyệt đẹp.
ông cho biết tất cả số tiền đều đến từ sự đóng góp của tư nhân.,chuyến đi đó chắc phải tốn rất nhiều tiền.
chuyến bay kéo dài bao lâu?,khoảng 90 cựu chiến binh Thế chiến thứ hai chúng tôi lên máy bay lúc 8 giờ sáng.
chỉ mất khoảng hai giờ.,chuyến bay kéo dài bao lâu?
bạn có chụp ảnh ở đài tưởng niệm chiến tranh thế giới thứ hai không?,chỉ mất khoảng hai giờ.
tôi tưởng bạn đã có việc làm.,tôi cần một công việc.
tôi đã làm vậy.,tôi tưởng bạn đã có việc làm.
chuyện gì đã xảy ra thế?,tôi đã làm vậy.
tôi đã bị sa thải.,chuyện gì đã xảy ra thế?
điều đó thật khủng khiếp! nó đã xảy ra khi nào?,tôi đã bị sa thải.
tôi đã bị sa thải vào tuần trước,điều đó thật khủng khiếp! nó đã xảy ra khi nào?
chỉ bạn thôi à?,tôi đã bị sa thải vào tuần trước
tôi đang tìm việc trên báo.,bạn định làm gì?
chúc may mắn!,tôi đang tìm việc trên báo.
Móng tay của bạn có sạch không?,kiểm tra cái gì?
giày của tôi sáng bóng.,bạn đã đánh bóng đôi giày của bạn chưa?
tất của bạn có phù hợp không?,giày của tôi sáng bóng.
tất nhiên là chúng phù hợp.,tất của bạn có phù hợp không?
chắc chắn là vậy.,cuộc sống thật khó khăn.
tôi nghĩ trường học thật khó khăn,chắc chắn là vậy.
đôi khi tôi ước mình được trở lại trường học,tôi đồng ý. đi làm cũng vất vả như đi học.
nó trôi qua khá nhanh.,và chỉ mới 12 năm thôi.
nhưng công việc vẫn tiếp diễn mãi mãi!,nó trôi qua khá nhanh.
chúng ta phải làm việc trong 30 năm!,nhưng công việc vẫn tiếp diễn mãi mãi!
tôi cũng vậy.,tôi buồn ngủ.
tôi đã có một ngày dài,tôi cũng vậy.
tôi cũng vậy.,tôi đã có một ngày dài
tôi thậm chí còn không ăn trưa.,tôi cũng vậy.
tôi cũng vậy.,tôi thậm chí còn không ăn trưa.
tôi bận cả ngày.,tôi cũng vậy.
tôi cũng vậy.,tôi bận cả ngày.
tôi phải mang công việc về nhà.,tôi cũng vậy.
tôi cũng vậy.,tôi phải mang công việc về nhà.
ngày của bạn cũng giống như của tôi.,tôi cũng vậy.
tất nhiên là như vậy. chúng ta làm việc cùng nhau!,ngày của bạn cũng giống như của tôi.
bạn làm nghề gì?,tôi không thích công việc của tôi
tôi là người giữ trẻ.,bạn làm nghề gì?
công việc đó có nhiều không?,tôi là người giữ trẻ.
bé khóc suốt.,công việc đó có nhiều không?
bạn phải thay tã cho chúng.,bé khóc suốt.
tôi phải cho chúng ăn.,bạn phải thay tã cho chúng.
bạn đang tìm kiếm một công việc khác?,tôi phải cho chúng ăn.
một gia đình chỉ có một đứa con.,một gia đình khác?
đó là một ý tưởng tốt,một gia đình chỉ có một đứa con.
công việc cuối cùng của bạn là gì?,tôi cần một công việc.
tôi là một họa sĩ.,công việc cuối cùng của bạn là gì?
chuyện gì đã xảy ra thế?,tôi là một họa sĩ.
tôi bị sa thải vì không có việc làm,chuyện gì đã xảy ra thế?
bạn có thể làm gì khác?,tôi bị sa thải vì không có việc làm
tôi là một người siêng năng.,bạn có thể làm gì khác?
bạn có thể sửa vòi nước nhỏ giọt trong bồn rửa nhà bếp không?,tôi là một người siêng năng.
tất nhiên rồi.,bạn có thể sửa vòi nước nhỏ giọt trong bồn rửa nhà bếp không?
thì tôi có việc cho bạn trong nhà bếp của tôi.,tất nhiên rồi.
bạn sẽ chỉ tốn 20 USD cộng thêm các bộ phận.,thì tôi có việc cho bạn trong nhà bếp của tôi.
được rồi. nghe có vẻ là giá hợp lý.,bạn sẽ chỉ tốn 20 USD cộng thêm các bộ phận.
tôi không biết. tôi đã ở đây được 20 năm.,bạn sẽ làm gì nếu bị mất việc?
bạn có kỹ năng nào khác không?,tôi không biết. tôi đã ở đây được 20 năm.
